brand,bag name,bag style,handle?,skin type,color,width (in),height (in),depth (in),volume,price ($),website,,,,,,,,,,,,,,
Gucci,GG Marmont small bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,10,6,3,180,2400,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/chain-bags-for-women/gg-marmont-small-matelasse-shoulder-bag-p-443497DTDIT1000?gclsrc=aw.ds&gclid=EAIaIQobChMIpZOp3OCN9wIVnf7jBx0CagFREAAYASAAEgJTkvD_BwE&gclsrc=aw.ds,,,,,,,,,,,,,,
Gucci,GG Marmont small top handle bag,"Crossbody Bag, Handbag",1,Leather,Black,10.6,7.5,4.2,334,2790,https://www.gucci.com/us/en/pr/women/handbags/top-handle-bags-for-women/gg-marmont-small-top-handle-bag-p-498110DTDIT1000?gclsrc=aw.ds&gclid=EAIaIQobChMI4oGu7uCN9wIVYzizAB1nIwaYEAAYASAAEgLj5_D_BwE&gclsrc=aw.ds,,,,,,,,,,,,,,
Gucci,GG Marmont small shoulder bag 2,Crossbody Bag,0,Leather,Black,9.5,5,3,143,1550,https://www.gucci.com/us/en/pr/women/handbags/crossbody-bags-for-women/gg-marmont-small-matelasse-shoulder-bag-p-447632DTD1T1000,,,,,,,,,,,,,,
Gucci,GG Marmont mini round shoulder bag,Crossbody Bag,0,Leather,Black,7,7,2.5,123,1450,https://www.gucci.com/us/en/pr/women/handbags/crossbody-bags-for-women/gg-marmont-mini-round-shoulder-bag-p-5501540OLET1000,,,,,,,,,,,,,,
Gucci,GG Marmont half-moon-shaped mini bag,"Crossbody Bag, Shoulder Bag",0,Leather,Black,8.5,4.3,2,73,1250,https://www.gucci.com/us/en/pr/women/handbags/mini-bags-for-women/gg-marmont-half-moon-shaped-mini-bag-p-699514DTDHT1000,,,,,,,,,,,,,,
Gucci,GG Marmont mini bucket bag,Crossbody Bag,0,Leather,Black,5.5,6.7,5.1,188,1050,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/bucket-bags-for-women/gg-marmont-mini-bucket-bag-p-575163DTDRT1000,,,,,,,,,,,,,,
Gucci,Jackie 1961 small shoulder bag,Shoulder Bag,0,Canvas,Brown,11,7.5,1.8,149,2250,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/half-moon-bags-for-women/jackie-1961-small-shoulder-bag-p-636706HUHHG8565,,,,,,,,,,,,,,
Gucci,Jackie 1961 small shoulder bag 2,Shoulder Bag,0,Leather,Black,11,7.5,1.8,149,2600,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/half-moon-bags-for-women/jackie-1961-small-shoulder-bag-p-63670910O0G1000,,,,,,,,,,,,,,
Gucci,Jackie 1961 medium tote bag,"Shoulder Bag, Handbag",1,Canvas,Brown,11.8,9.4,4.7,521,2590,https://www.gucci.com/us/en/pr/women/handbags/tote-bags-for-women/jackie-1961-medium-tote-bag-p-649016HUHHG8565,,,,,,,,,,,,,,
Gucci,Jackie 1961 medium tote bag 2,"Shoulder Bag, Handbag",1,Leather,Black,11.8,9.4,4.7,521,3100,https://www.gucci.com/us/en/pr/women/handbags/tote-bags-for-women/jackie-1961-medium-tote-bag-p-6490160YK0G1000,,,,,,,,,,,,,,
